card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
HDFC Bank Millennia Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best Balance Transfer Credit Cards in India 2026"", ""Best Cashback Credit Cards in India"", ""Best Credit Cards for Food Ordering and Dining in India"", ""Best HDFC Bank"", ""Best HDFC Bank Credit Cards"", ""Best Online Shopping Credit Cards India"", ""Top 20 Best Credit Cards in India 2026""]","₹1,000 + GST","₹1,000 + GST",Annual Charges Waived on Spends of ₹1 Lakh or More,,Cashback,1 Cash Point = ₹1 When Redeemed Against Credit Card Statement,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",The following table illustrates the income-based and age-based eligibility criteria for HDFC Bank Millennia Credit Card-,3.75% Per Month (45% Annually),3.5% + GST,"A 1% Fuel surcharge is waived if you spend between Rs. 400 and Rs. 5,000 on fuel (Max Rs. 250 per statement cycle) | 2.5% of the transaction amount, subject to a minimum fee of Rs. 500 | ₹50 + GST Per Cash Redemption Request. ₹99 + GST for Other Redemptions","1,000 CashPoints as a welcome benefit on card setup (subject to realization of the joining fee). Gift vouchers worth ₹1000 on spending ₹1 lakh or above in a quarter. 5% cashback at select partner online merchants, including popular e-commerce websites like Amazon and Flipkart. 1% cashback on all other spends except fuel, rental, and government spends. Up to 20% discount on partner restaurants via Swiggy Dineout. Renewal fee waiver on spending ₹1,00,000 in the previous year.","[""Get high 5% cashback on partner merchants like Myntra, Amazon, Zomato, Swiggy, Uber, etc."", ""Renewal fee waiver on spending Rs. 1 Lakh in the card anniversary year""]","[""You earn a low 1% cash back on offline/online spends at non-partner merchants"", ""The accelerated Cashpoints are capped at 1000 per statement cycle and you can earn 1000 Cashpoints at the normal 1x rate."", ""A minimum of 500 Cashpoints are needed to redeem against the card statement balance""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-millennia-credit-card/
HDFC Bank MoneyBack Plus Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best Credit Cards for Beginners"", ""Best HDFC Bank"", ""Best HDFC Bank Credit Cards"", ""Best Student Credit Cards India 2026""]",₹500 + GST,₹500 + GST,"Renewal fee waived off on spending Rs. 50,000 or more in the previous year",,Reward Points,"CashPoints redeemable for cashback, purchasing products, flight/hotel bookings via SmartBuy and partner airlines’ AirMiles",,"Earn a gift voucher worth ₹500 on expenditure of ₹50,000 or more in a quarter. This means that you can earn gift vouchers worth ₹2,000 in a year.","{""domestic"": ""N/A"", ""international"": ""N/A""}","The following table illustrates the income-based and age-based eligibility criteria for the HDFC MoneyBack+ Credit card- Salary employees should be between 21 and 60 and earn at least ₹20,000 per month. The self-employed individuals should be between 21 and 65 years old and have a minimum annual income of ₹6 lakhs. The applicant should have a decent credit score.",3.75% Per Month (45% Annually),3.50%,1% fuel surcharge waiver applicable on all fuel transactions | 2.5% of the withdrawn amount (subject to a minimum charge of Rs. 500) | ₹99 + GST,"500 CashPoints as a welcome gift. 2 CashPoints for every ₹200 you spend with the card (except fuel, wallet reloads, prepaid card reloads, and voucher purchases). 10X CashPoints on partner brands, including Amazon, Flipkart, Reliance Smart Store, BigBasket, and Swiggy. Gift voucher worth ₹500 on spends of ₹50,000 in a calendar quarter (max benefit of ₹2,000 in a year). Up to ₹200 off on dining at over 2,000 premium restaurants in select cities. Get a waiver on the annual fee for an annual expenditure of a minimum of ₹50,000. A 1% waiver on fuel surcharge.",[],[],,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-moneyback-plus-credit-card/
HDFC Bank Pixel Go Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]",₹250 + GST,₹250 + GST,"On Spends of Rs. 50,000 in a Year",,Cashback,Cashback Against Statement,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.60% Monthly and 43.20% Yearly,3.50%,1% Across Fuel Stations in India | 2.5% | Nil,This card can be availed at a joining fee of Rs. 250 + applicable taxes. You can get 1% unlimited cashback with this card across all eligible categories. Discounts on dining with Swiggy.,"[""This card comes with a reasonable fee, which can be waived by spending Rs. 10,000 in the first 90 days of card activation. From the second year onwards, the fee can also be easily waived by spending Rs. 50,000 in a year.""]","[""This card offers 1% cashback across all categories. There is no accelerated or higher cashback rate for certain categories."", ""SmartBuy offers cannot be availed with this credit card.""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-pixel-go-credit-card/
HDFC Bank Pixel Play Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]",Lifetime Free,Lifetime Free,Spend Rs. 1 Lakh in a Card Anniversary Year,,Cashback,Redemption for Vouchers Via PayZapp,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.60% Monthly and 43.20% Yearly,3.50%,1% Waiver Upto ₹250 Each Statement | 2.5% | Nil,"The card comes at a joining fee of ₹500. With this card, you can avail of 5% cashback on popular categories like fashion, entertainment, and dining. 5% cashback on Smartbuy spends. 1% cashback on all other eligible categories.","[""5% cashback on popular platforms and brands like Uber, Myntra, BookMyShow and Zomato.""]","[""Although this card charges a joining fee of ₹500, there are no welcome benefits associated with it.""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-pixel-play-credit-card/
HDFC Bank Regalia Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]","Rs. 2,500 + GST","Rs. 2,500 + GST",Get the annual fee waived off (second-year onwards) by spending more than 3 lakh in the previous year.,,Reward Points,"1 RP = Rs. 0.5 for redemption against flights and hotel bookings on HDFC Smartbuy website, 1 RP = up to Rs. 0.35 if you want to redeem against vouchers and poducts, 1 RP = Rs 0.20 for cash back, and Air miles conversion at a value of 1RP = 0.5 air mile.",,"Assured 10,000 Reward Points on spending over Rs. 5 lakhs in the anniversary year under the card’s milestone spend benefits. An additional bonus of 5,000 Reward Points on spending over Rs. 8 lakhs in the anniversary year.","{""domestic"": ""8 free airport lounge access per year within India."", ""international"": ""6 airport lounge access every year outside India through the Priority Pass.""}","Before applying for any card, it is really essential to check for its eligibility criteria so that your application doesn’t get rejected. The same should be followed with the Regalia Credit Card. The age and income eligibility criteria required in order to apply for the HDFC Bank Regalia Credit card are given below in the table: Other than this, the bank may have some internal eligibility criteria, which would be considered while approving or rejecting your application for the Regalia credit card. For example, fulfilling only the age and income criteria won’t be enough, but you should also have a good credit history.",3.6% per month or 43.2% annually,2% on all foreign currency transactions.,1% fuel surcharge waiver at all fuel stations in India on a minimum of Rs. 400 transaction and a maximum of Rs. 5000 transaction. | 2.5% of the transaction amount or Rs. 500 (whichever is higher) | Rs 99 (plus applicable taxes),"Welcome bonus of 2,500 Reward Points. 4 Reward Points on every Rs. 150 you spend on retail. Earn a total of 15,000 bonus Reward Points on spending Rs. 8 lakhs in an anniversary year. Get up to 20% off on partner restaurants via Swiggy Dineout Complimentary membership to the Priority Pass program. 6 complimentary Lounge Access at airports outside India and 12 within India. Low international transaction charges of 2%. Renewal fee waived off on spending over 3 lakhs in the previous year​​​​​​. 1% fuel surcharge waiver capped at a maximum Rs. 500 per month Travel insurance benefit in case air accident worth up to Rs. 1 crore.","[""Bonus reward points as welcome benefit and a high reward rate"", ""Low forex markup fee of 2%"", ""Complimentary domestic and international lounge access with Priority Pass membership""]","[""Regalia Gold charges a similar joining fee and has better benefits and redemption options"", ""Several spend categories are excluded from earning reward points and points expire after 2 years from accrual date.""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-regalia-credit-card/
HDFC Bank Regalia First Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]","Rs. 1,000 + GST","Rs. 1,000 + GST",Annual Fee Waiver on Spends of ₹1 Lakh,,Reward Points,"1 RP Can Be Redeemed at a Value of ₹0.30 on SmartBuy Travel Bookings, 0.30 Airmiles on Airline Transfers, ₹0.25 on Products & Vouchers, and ₹0.10 Against Cashback.",,"7,500 Reward Points on annual spends of ₹6,00,000 or more every anniversary year. An additional 5,000 Reward Points on annual spends of ₹9,00,000 or more every anniversary year.","{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.75% Monthly (or 45% Annually),3.50%,"1% fuel surcharge waiver on all fuel transactions | 2.5% of the amount withdrawn or Rs. 500, higher of the two. | ₹99 + GST","1,000 Reward Points as a welcome bonus. For every ₹200 spent on retail purchases, you will get 3 Reward Points. Air accident insurance worth ₹50 lakhs. Credit liability cover worth up to ₹5 lakhs. 1% fuel surcharge waiver on fuel transactions. On payment of the renewal fee, you will get 1,000 bonus reward points.","[""Earn 5,000 reward points on a spend of Rs. 3 Lakhs or more.""]","[""There is a reward redemption fee of Rs. 99"", ""There are no entertainment benefits with the HDFC Bank Regalia Credit Card.""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-regalia-first-credit-card/
HDFC Bank Regalia Gold Credit Card,HDFC Bank,Best HDFC Bank,,"[""10+ Best Rewards Credit Cards in India 2026"", ""20+ Best Travel Credit Cards"", ""Best Credit Cards for Club ITC Points/ITC Culinaire Membership"", ""Best Credit Cards for Free Domestic Airport Lounge Access"", ""Best Credit Cards for Free International Airport Lounge Access"", ""Best Credit Cards for IHG Hotels and Resorts in India"", ""Best Credit Cards for International Travel 2026"", ""Best Credit Cards in India for Qatar Airways Privilege Club (Avios)"", ""Best HDFC Bank"", ""Best HDFC Bank Credit Cards"", ""Best Hotel Credit Cards""]","₹2,500 + GST","₹2,500 + GST",Renewal Fee Waiver on Spending Rs. 4 Lakh in a Year,,Reward Points,"Redeem RPs for flight/hotel bookings via the Smartbuy portal at the rate of 1 RP = Rs. 0.50, convert RPs into airmiles through Netbanking at the rate of 1 RP = 0.50 Airmiles, Redeem RPs for products and gift vouchers on the Smartbuy portal at the rate of 1 RP = Rs. 0.35, and Redeem RPs against the Exclusive Gold Catalogue on Smartbuy at the rate of 1 RP = Rs. 0.65",,"You get complimentary flight tickets and gift vouchers for achieving annual and quarterly spend-based milestones. On spending ₹1.5 Lakhs in a calendar quarter, you get ₹1500 worth of vouchers from M&S, Myntra, Marriott, and Reliance Digital. You can redeem just one voucher from any merchant per quarter. If you spend ₹5 Lakhs, you will get ₹5,000 worth of flight vouchers. Spending ₹7.5 Lakhs in the card anniversary year earns you additional flight vouchers worth ₹5000.","{""domestic"": ""3 Complimentary Domestic Airport Lounge Access Every Quarter (12 Each Year) on Spends of ₹60,000 or More in the Previous Quarter"", ""international"": ""6 International Lounge Visits Via Priority Pass (For Both Primary and Add-on Cardholders)""}","You should thoroughly review the eligibility requirements of any credit card before applying for it. The following are the age and income requirements for the Regalia Gold credit card. In addition to these requirements, you must have a good credit score and credit history to be approved for the credit card.",3.75% (45% Annually),2% + GST,"N/A | 2.5% of total amount or Rs. 500, the higher one | ₹99 + GST","Complimentary MMT Black Gold and Swiggy One membership on spending over ₹1 lakh within 90 days of getting the card issued. 1,500 worth of vouchers from any one of M&S, Myntra, Reliance Digital, or Marriott on spending ₹1.5 Lakhs each quarter 5,000 worth of complimentary flight vouchers on spending ₹7.5 Lakhs in the card anniversary year 5 Reward Points on every retail spend of ₹200 and 5X accelerated Reward Points on every ₹200 spent on purchases at M&S, Nykaa, Myntra, and Reliance Digital 12 complimentary lounge access in India at both international and domestic terminals every year Six complimentary lounge access outside India through the Priority Pass Renewal fee waiver on spending ₹4 Lakhs in the card anniversary year Low foreign currency markup fee of 2%","[""Enjoy the exclusive 24/7 concierge service that comes with the Regalia Gold Credit Card."", ""You can enjoy access to both domestic and international lounges, with 12 and 6 visits per year, respectively.""]","[""A fee of ₹99 is applicable for reward redemption."", ""Card renewal fee waiver is at a high cost of ₹4 lakhs.""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-regalia-gold-credit-card/
HDFC Bank RuPay IRCTC Credit Card,HDFC Bank,Best HDFC Bank,RuPay,"[""Best Credit Card For Complimentary Railway Lounge Access"", ""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]",Rs. 500 + GST,Rs. 500 + GST,The renewal fee is waived on spending Rs. 1.5 lakhs or more in the previous year.,,Reward Points,Redeem Points for IRCTC Bookings. 1 Cash Point = ₹1,,"You shall receive gift vouchers worth ₹500 on spends of ₹30,000 or more every calendar quarter.","{""domestic"": ""N/A"", ""international"": ""N/A""}",The basic eligibility requirements for the IRCTC HDFC Bank Credit Card are mentioned below: The applicant’s age should be between 21 and 65 years. The applicant should either be self-employed or salaried with a stable monthly income.,3.75% Per Month (45% Annually),3.50%,1% Fuel Surcharge Waiver Up to ₹250 Each Statement Cycle | 2.5% of the cash amount or Rs. 500 (whichever is higher) | ₹99 + GST,Amazon voucher worth ₹500 as a welcome benefit. 1 Reward Point for every ₹100 spent on retail purchases. 5X Reward Points on IRCTC spends. Complimentary railway lounge access every year. Spend-based waiver of the renewal fee. 1% fuel surcharge waiver.,"[""Highly beneficial card for frequent travels with complimentary access to Executive Lounges of IRTC (8 in a calendar year)."", ""5 reward points on each ₹100 spent on the IRCTC website and app and an additional 5% cashback on train ticket purchases through HDFC SmartBuy.""]","[""There is a minimum 100-point limit for redemption of rewards."", ""The reward points can only be used to purchase train tickets on the HDFC SmartBuy platform.""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-rupay-irctc-credit-card/
HDFC Bank Titanium Times Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]",NIL,Rs. 500 + GST,Renewal fee waived off on expenditure of Rs. 1.5 lakh in an anniversary year,,Reward Points,"The accumulated Reward Points can be redeemed for products, gift vouchers and discounts via net banking or through post.",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.6% per month (or 43.2% per annum),3.5% of the transaction amount (plus applicable taxes),"1% fuel surcharge waiver for transactions between Rs. 400 and Rs. 5,000 at all fuel stations across India (maximum waiver capped at Rs. 250 per statement cycle) | 2.50% or Rs. 500, whichever is higher. | Rs. 99 per redemption request (plus applicable taxes)","Times Prime annual Membership as a welcome gift. Round the year discount at select dining, wellness, shopping and travel partners. 5 Reward Points on every Rs. 150 spent on dining spends on weekdays. 2 Reward Points on every Rs. 150 spent on this card. 25% off (up to Rs. 350 per transaction) on movie tickets on BookMyShow. Renewal fee waived off on expenditure of a minimum of Rs. 1.5 lakh in a year. Up to 20% off on online & offline – shopping, wellness & hotel stays at selected partners. Live GPS location based offers every single day.",[],[],,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-titanium-times-credit-card/
HDFC Bank UPI RuPay Credit Card,HDFC Bank,Best HDFC Bank,RuPay,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]",Rs. 99 + GST,Rs. 99 + GST,"Renewal Fee is Waived on Annual Spends of ₹25,000",,Reward Points,"The Cashpoints can be redeemed against card statement balance, hotel and flight ticket bookings, on the Smartbuy rewards portal, where 1 Cashpoints = Rs. 0.25",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.6% per month or 43.2% per annum,3.5% of the transactions amount,"N/A | 2.5% of the withdrawal amount or Rs. 500, whichever is higher | ₹99 + GST","3% Cashpoints on supermarket, dining, grocery, and PayZapp spends 2% Cashpoints on Utility spends 1% Cashpoints on other spends excluding some spend categories Up to 50 days of interest-free credit period Renewal fee waiver on spending Rs. 25000 or more in the previous year","[""Earn CashPoints on both regular and UPI payments made with the credit card"", ""Get up to 3% CashPoints on grocery, supermarket, dining, and PayZapp spends"", ""The card is issued only virtually and there is no hassle of keeping the physical variant""]","[""There are not many benefits apart from the UPI payments and cashback"", ""Many spend categories are excluded from earning cashback""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bank-upi-rupay-credit-card/
HDFC Bank Bharat Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]",Rs. 500 + GST,Rs. 500 + GST,"Renewal fee waived off on spending Rs. 20,000 in previous year",,Cashback,The reward points can be redeemed as cash back at the request of the cardholder. 1 Reward Point = Re. 1,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",The HDFC Bank follows an eligibility requirement for the issuance of an HDFC Bank Bharat credit card. Given below is the minimum requirement that needs to be fulfilled by the applicant.,3.6% p.m. (43.2% p.a.),3.5% on the conversion amount,1% fuel surcharge waiver on minimum transaction of Rs. 400. The waiver is capped at Rs. 250 per billing cycle | 2.5% or Rs. 500 whichever is higher | Rs. 99,"5% monthly cashback on Category A transactions (fuel expenses and ticket bookings through IRCTC, groceries, bill payments and mobile recharges). 5% monthly cashback on Category B transactions (on payments done through PayZapp, EasyEMI or SmartBuy) Cashback will be retained as reward points. Avail 50 days interest-free period.",[],[],,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-bharat-credit-card/
HDFC Bank Diners Club Privilege Credit Card,HDFC Bank,Best HDFC Bank,"Diners Club, Diners","[""Best Credit Cards for Food Ordering and Dining in India"", ""Best Credit Cards for Free Domestic Airport Lounge Access"", ""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]","₹1,000 + GST","₹1,000 + GST",Annual Fee Waiver on Spends of ₹3 Lakh,,Reward Points,"1 reward point = Rs 0.5 redeemable on SmartBuy reward portal for flight & hotels bookings, 1 reward point = 0.5 Air miles.",,"To achieve retail spending of ₹1,50,000 or more per calendar quarter, cardholders can choose a ₹1500 voucher from any one of Marriott, O2 Spa, Lakme Salon, Barbeque Nation, or Decathlon. The benefit is unlocked within 48 hours of achieving the target spend amount, and the cardholder can download the voucher.","{""domestic"": ""2 Domestic Lounge Visits Each Quarter on ₹60,000 Spends in the Previous Quarter"", ""international"": ""One Free Visit Each Quarter on ₹60,000 Spends in the Previous Quarter""}",,3.75% Per Month (45% Per Annum),3.50%,N/A | 2.5% of the Amount Withdrawn or ₹500 (Whichever is Higher) | ₹99 + GST,"Get a Complimentary Membership of Swiggy One and Times Prime as a welcome benefit. 4 Reward Points on every ₹200 spent, and up to 10x Reward Points on Smartbuy spends, with your HDFC Bank Diners Club Privilege Credit card. Accelerated 5x RPs on your Swiggy and Zomato spends. Complimentary airport lounge visits both in India and abroad Insurance Cover worth up to ₹1 crore in case of an Air Accident.","[""4 RPs per ₹200 spent, and 5x RPs on Zomato and Swiggy spends."", ""Frequent travelers can benefit from complimentary domestic and international lounge access.""]","[""The welcome benefit includes Swiggy One and Times Prime memberships, which may not be wanted by some cardholders."", ""There is no cashback on online spending, and a higher annual fee than similar variants.""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-diners-club-privilege-credit-card/
HDFC Bank Doctor’s Regalia Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]","Rs. 2,500 + GST","Rs. 2,500 + GST","Upon spending Rs. 3 Lakhs or more in the previous year, renewal fee of Rs. 2,500 for HDFC Bank Doctor’s Regalia Credit Card will be waived off",,Reward Points,"Reward points can easily be redeemed for hotel and flight bookings, premium products and vouchers through HDFC regalia Rewards Points can also be redeemed against cash","You get 2,500 Reward Points as a welcome gift.",,"{""domestic"": ""Complimentary Lounge Access at airports across India – 12 times in a calendar year"", ""international"": ""6 Complimentary International lounge visits using the Priority Pass Membership""}",,3.49% per month (or 41.88% annually),2% (plus applicable taxes),Fuel surcharge waiver of 1% on a minimum and maximum spend of Rs. 400 and Rs. 5000 respectively at all the petrol pumps across India | 2.5% of amount withdrawn or Rs. 500 whichever is higher | Rs. 99 (plus applicable taxes),"2,500 Reward Points as Welcome Benefit. 4 Reward Points on every Rs. 150 spent. Complimentary airport lounge access worldwide with complimentary Priority Pass membership Low foreign currency markup fee at 2%. Doctor’s Regalia Credit Card provides you protection worth up to Rs. 20 Lakh against costs arising due to professional negligence. Travel insurance benefit in case of air accident worth Rs. 1 Crore. Credit Liability Cover of up to Rs. 9 Lakhs.",[],[],,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-doctors-regalia-credit-card/
HDFC Bank Doctor’s Superia Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]","Rs. 1,000 + GST","Rs. 1,000 + GST",Spend Rs. 1 Lakh in a year and get waiver of next year’s annual membership fee,,Reward Points,The earned points can be redeemed to get AirMiles where 667 Reward Points = 100 AirMiles. The reward points can also be redeemed for exclusive gifts listed in the reward catalog.,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",The applicant must be an Indian Doctor If the applicant is a salaried doctor then he must be between 21 to 60 years of age If the applicant is a self-practicing doctor then he must be between 21 to 65 years of age,3.6% per month (43.2% per annum),3.5% on all international transactions,Get 1% fuel surcharge on transactions between Rs. 400 and Rs. 5000 (max waiver capped at Rs. 250 per statement cycle) | 2.5% of the amount withdrawn (subject to a minimum of Rs. 500) | N/A,"Welcome benefit of 1,000 Reward points Renewal benefit of 1,000 Reward points Reward Points are redeemable against Airmiles for several Airlines 50% more reward points are credited to your account on dining spends. Professional Indemnity Insurance coverage up to Rs. 20 Lakhs Up to 50 interest free days from the date of purchase.",[],[],,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-doctors-superia-credit-card/
HDFC Bank Freedom Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]",₹500 + GST,₹500 + GST,"Rs. 50,000 spent in the previous year",,Reward Points,1 CashPoint = ₹0.15 for Various Redemption Options,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","To be approved for the HDFC Bank Freedom Card, applicants must meet specific eligibility criteria that depend on factors such as age, income, and credit history. The basic eligibility requirements for the HDFC Freedom Credit Card are mentioned below in the table:",3.75% Monthly and 45.0% Annually,3.50%,"1% Surcharge Waived for Fuel Transactions Between ₹400 and ₹5,000 | 2.50% of the withdrawn amount (subject to a minimum charge of Rs. 500) | ₹99 + GST",Complimentary 500 Cash Points as a welcome benefit. Low interest rate of 0.99% for the first 90 days from the card issuance date. 10X CashPoints on various popular brands. 1 CashPoint/₹200 on all other spends with the card.,"[""Easy redemption of CashPoints against an array of categories."", ""Up to 10% off on partner restaurants via Swiggy Dineout""]","[""CashPoints expire after 2 years and are not valid for life."", ""This card does not offer benefits for entertainment or golf, nor does it provide access to domestic or international lounges.""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-freedom-credit-card/
HDFC MoneyBack Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]",Rs. 500 + GST,Rs. 500 + GST,"The renewal fee is waived off on spending Rs. 50,000 or above in the previous year.",,Reward Points,1 Reward Point = Rs 0.20 for redemption against the statement balance. 1 Reward Point = Rs. 0.25  for redemption through Smartbuy Rewards portal,,"You get a gift voucher worth Rs 500 on spending Rs 50,000 in a calendar quarter. You can earn gift vouchers worth up to 2,000 in a year using this card.","{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.6% per month (43.2% per annum),3.5% per currency conversion (plus applicable taxes),1% fuel surcharge waiver on all your fuel transactions using this credit card at all petrol pumps across India | 2.5% of the withdrawal amount subject to a minimum charge of Rs 500 | Rs. 99 per redemption request (plus applicable taxes),"Enjoy 500 Cash Points as a Welcome Benefit with HDFC MoneyBack credit card Get 4 Reward Points on every Rs 150 spent online, and 2 Reward Points on every other spend of Rs. 150. Get a Gift voucher worth Rs 500 every calendar quarter on the spending of Rs 50,000. Redeem your reward points against exciting rewards and offer on the Smartbuy rewards portal. Spend Based Waiver on Annual fee. 1% fuel surcharge waiver up to Rs. 250 per month.",[],[],,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-moneyback-credit-card/
HDFC Platinum Times Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]",NIL,"Rs. 1,000 + GST","Annual fee of Rs 1,000 waived off on annual spends of Rs. 2.5 lakhs or above.",,Reward Points,You can redeem rewards by logging into your HDFC Bank net banking account and clicking on the reward redemption link.,"With HDFC Platinum Times card, you get the following welcome benefits: Complimentary Times Prime annual Membership worth Rs. 999. The membership can be activated after performing 3 transactions of card insurance within a calendar quarter. Get E-Vouchers Worth Rs. 5000.",,"{""domestic"": ""N/A"", ""international"": ""N/A""}",Certain eligibility requirements need to be fulfilled by the applicants in order to get approved for this card. The eligibility criteria for this card are given below:,3.6% per month (or 43.2% annually),3.5% of the transaction amount (plus applicable taxes),"1% fuel surcharge waived off at all filling stations across India for transactions between Rs. 400 and Rs. 5,000 (max waiver of Rs. 250 per month) | 2.5% of the transaction fee subject to a minimum charge of Rs 500 | Rs. 99 (plus applicable taxes) per redemption request","Gift vouchers across shopping, dining and apparel, and many other categories. 50% off on movie ticket bookings on BookMyShow (max discount of Rs. 600 per transaction). Round the year offers and discounts on travel, shopping, dining and wellness categories at select partner merchants. 3 Reward Points per Rs. 150 spent with the card. Accelerated Reward Points (10 RPs per Rs. 150 spent) on dining spends on weekdays.",[],[],,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-platinum-times-credit-card/
HDFC Bank Solitaire Credit Card,HDFC Bank,Best HDFC Bank,,"[""Best HDFC Bank"", ""Best HDFC Bank Credit Cards""]",Rs. 500 + GST,Rs. 500 + GST,"The annual fee is waived off on spending Rs. 50,000 or more in the previous year.",,Reward Points,1 Reward Point = Re. 0.20 for redemption against cashback.,,"You get a Shoppers Stop voucher worth Rs. 1,000 on achieving a spend of Rs. 75,000 in six months. You can get a maximum of 2 vouchers every year.","{""domestic"": ""N/A"", ""international"": ""N/A""}","Since this card is specifically designed for women, only women can apply for it. All women above the age of 21 years with a stable source of income are eligible to apply for this card. In the case of salaried women, the age should be between 21 years and 60 years. In the case of self-employed women, the age should be between 21 years and 65 years.",3.6% per month (43.2% annually),3.5% on all foreign currency spends.,"1% fuel surcharge waiver on all fuel transactions between Rs. 400 and Rs. 5,000. | 2.5% of the cash amount withdrawn or a minimum of Rs. 500. | Rs. 99 on every redemption request.","Get a complimentary wellness package from Thyrocare as a welcome benefit. 3 Reward Points on every spend of Rs. 100. Accelerated Reward Points on groceries and dining. 1,000 bonus Reward Points every year as a renewal benefit. Reward Points redeemable against various gifts, vouchers, and cashback. Get gift vouchers worth up to Rs. 2,000 every year on achieving the spend milestone. Spend-based waiver of the annual fee. 1% fuel surcharge waiver on all fuel transactions.","[""The card offers an accelerated reward rate on dining. Therefore, it is suitable for those who dine out often and want an affordable credit card to save more on their dining spending."", ""The spend-based waiver is another great benefit of this card, as one can avoid the annual fee of Rs. 1,000 just by spending Rs. 50,000 in the previous year.""]","[""There are no travel privileges. Therefore, the card may not be suitable for frequent travelers."", ""The reward redemption rate is slightly lower than most of the other basic cards in the market, i.e., 1 Reward Point = Re. 0.20.""]",,cardinsider.com,https://cardinsider.com/hdfc-bank/hdfc-solitaire-credit-card/
